mes,municipio,departamento,valorobservado,riesgo_humedad
2015-10,MOSQUERA,CUNDINAMARCA,77.91058122205663,óptimo
2015-10,NEMOCÓN,CUNDINAMARCA,76.78801169590643,óptimo
2015-10,PASCA,CUNDINAMARCA,82.63173216885008,riesgo_moderado_alta_humedad
2015-10,PASTO,NARIÑO,70.59140767824498,óptimo
2015-10,PUERRES,NARIÑO,99.57685009487666,riesgo_alto_alta_humedad
2015-10,PUERTO SALGAR,CUNDINAMARCA,87.17316017316017,riesgo_moderado_alta_humedad
2015-10,QUEBRADANEGRA,CUNDINAMARCA,81.01886792452831,riesgo_moderado_alta_humedad
2015-10,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-10,SAN CAYETANO,CUNDINAMARCA,82.87801418439716,riesgo_moderado_alta_humedad
2015-10,TÚQUERRES,NARIÑO,80.81336405529954,riesgo_moderado_alta_humedad
2015-10,UBATÉ,CUNDINAMARCA,70.92487479131887,óptimo
2015-10,VILLAPINZÓN,CUNDINAMARCA,28.46861313868613,riesgo_baja_humedad
2015-10,VILLETA,CUNDINAMARCA,72.51129943502825,óptimo
2015-10,ZIPAQUIRÁ,CUNDINAMARCA,87.93250444049734,riesgo_moderado_alta_humedad
2015-11,BARBACOAS,NARIÑO,98.0973597359736,riesgo_alto_alta_humedad
2015-11,CABRERA,CUNDINAMARCA,88.96339113680155,riesgo_moderado_alta_humedad
2015-11,CACHIPAY,CUNDINAMARCA,76.65666666666667,óptimo
2015-11,CAPARRAPÍ,CUNDINAMARCA,91.2914653784219,riesgo_alto_alta_humedad
2015-11,CARMEN DE CARUPA,CUNDINAMARCA,75.56958393113342,óptimo
2015-11,CONTADERO,NARIÑO,75.70797720797721,óptimo
2015-11,EL COLEGIO,CUNDINAMARCA,82.13636363636364,riesgo_moderado_alta_humedad
2015-11,FÚQUENE,CUNDINAMARCA,75.78245614035087,óptimo
2015-11,GIRARDOT,CUNDINAMARCA,69.49305555555556,óptimo
2015-11,GUASCA,CUNDINAMARCA,91.9639705882353,riesgo_alto_alta_humedad
2015-11,LA CALERA,CUNDINAMARCA,95.2133152173913,riesgo_alto_alta_humedad
2015-11,LENGUAZAQUE,CUNDINAMARCA,79.03370786516854,óptimo
2015-11,MOSQUERA,CUNDINAMARCA,82.96018376722817,riesgo_moderado_alta_humedad
2015-11,NEMOCÓN,CUNDINAMARCA,79.25806451612904,óptimo
2015-11,PASCA,CUNDINAMARCA,88.43567251461988,riesgo_moderado_alta_humedad
2015-11,PASTO,NARIÑO,77.08159722222223,óptimo
2015-11,PUERRES,NARIÑO,98.72239747634069,riesgo_alto_alta_humedad
2015-11,PUERTO SALGAR,CUNDINAMARCA,85.73574408901251,riesgo_moderado_alta_humedad
2015-11,QUEBRADANEGRA,CUNDINAMARCA,87.26512968299711,riesgo_moderado_alta_humedad
2015-11,SAN BERNARDO,CUNDINAMARCA,98.73259052924791,riesgo_alto_alta_humedad
2015-11,SAN CAYETANO,CUNDINAMARCA,87.51988636363636,riesgo_moderado_alta_humedad
2015-11,SUBACHOQUE,CUNDINAMARCA,81.91895803183792,riesgo_moderado_alta_humedad
2015-11,TAMINANGO,NARIÑO,73.54782608695652,óptimo
2015-11,TOCANCIPÁ,CUNDINAMARCA,81.65755395683453,riesgo_moderado_alta_humedad
2015-11,TÚQUERRES,NARIÑO,85.66776859504132,riesgo_moderado_alta_humedad
2015-11,UBATÉ,CUNDINAMARCA,75.38360175695462,óptimo
